,0,1,2
1121,37,37,33
1122,40,37,32
1123,41,38,33
1124,37,38,34
1125,33,34,30
1126,27,35,34
1127,29,37,36
1128,29,40,36
1129,26,37,33
1130,24,37,32
1131,26,39,34
1132,28,41,36
1133,25,38,33
1134,23,36,33
1135,23,36,33
1136,30,33,34
1137,34,37,38
1138,39,39,35
1139,38,38,34
1140,38,38,34
1141,37,37,33
1142,34,34,34
1143,37,37,37
1144,40,39,39
1145,40,39,39
1146,41,38,33
1147,40,37,32
1148,41,38,33
1149,41,38,33
1150,36,37,33
1151,34,35,31
1152,32,35,34
1153,34,37,36
1154,36,37,33
1155,37,38,34
1156,41,38,35
1157,42,39,36
1158,42,37,35
1159,41,36,34
1160,41,36,34
1161,41,36,34
1162,37,37,33
1163,37,37,33
1164,38,39,33
1165,38,39,33
1166,37,38,34
1167,38,39,35
1168,35,39,34
1169,36,40,35
1170,33,42,35
1171,33,42,35
1172,32,41,34
1173,33,42,35
1174,36,40,35
1175,36,40,35
1176,39,39,33
1177,38,38,32
1178,40,37,32
1179,42,39,34
1180,41,43,34
1181,40,42,33
1182,35,42,34
1183,34,41,33
1184,29,38,31
1185,31,40,33
1186,33,42,35
1187,29,38,31
1188,28,37,30
1189,32,41,34
1190,29,40,38
1191,29,40,38
1192,33,40,44
1193,34,41,45
1194,36,39,42
1195,36,39,42
1196,35,38,37
1197,34,37,36
1198,27,38,34
1199,29,40,36
1200,34,43,34
1201,33,42,33
1202,34,42,31
1203,35,43,32
1204,38,39,33
1205,37,38,32
1206,36,37,33
1207,34,35,31
1208,34,38,33
1209,34,38,33
1210,36,40,35
1211,37,41,36
1212,38,39,35
1213,38,39,35
1214,37,38,34
1215,36,37,33
1216,34,37,36
1217,35,38,37
1218,32,38,36
1219,30,36,34
1220,34,37,36
1221,34,37,36
1222,35,39,32
1223,35,39,32
1224,35,40,30
1225,35,40,30
1226,35,39,32
1227,36,40,33
1228,36,40,33
1229,34,38,31
1230,36,40,35
1231,38,42,37
1232,40,40,36
1233,39,39,35
1234,40,40,36
1235,40,40,36
1236,39,40,36
1237,39,40,36
1238,37,42,32
1239,35,40,30
1240,30,36,34
